Index,System Time,Channel,Direction,Frame ID,Data
1,4:13:59.481,ch1,R,0x00d1,x| 00 00 00 00
2,4:13:59.481,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
3,4:13:59.481,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 BD
4,4:13:59.481,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
5,4:13:59.481,ch1,R,0x0018,x| 00 2A 70 0E 00 00 00 C8
6,4:13:59.481,ch1,R,0x0152,x| F0 DC 00 00 00 00 08 80
7,4:13:59.481,ch1,R,0x0140,x| 00 44 D3 42 00 00 09 21
8,4:13:59.481,ch1,R,0x0141,x| 84 26 C1 27 D0 82 A7 00
9,4:13:59.486,ch1,R,0x0142,x| 84 A6 00 00 00 00 00 00
10,4:13:59.486,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
11,4:13:59.486,ch1,R,0x0018,x| 00 2A 70 00 00 00 00 BA
12,4:13:59.486,ch1,R,0x0280,x| 03 0A 00 00 00 00 00 00
13,4:13:59.486,ch1,R,0x0140,x| 00 45 D1 42 00 00 09 21
14,4:13:59.486,ch1,R,0x0141,x| 84 26 C0 27 D0 82 A7 00
15,4:13:59.488,ch1,R,0x0142,x| 84 A6 00 00 00 00 00 00
16,4:13:59.488,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
17,4:13:59.488,ch1,R,0x00d0,x| D2 FF 00 00 00 00 00 00
18,4:13:59.488,ch1,R,0x00d1,x| 00 00 00 00
19,4:13:59.488,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
20,4:13:59.488,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 BE
21,4:13:59.488,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
22,4:13:59.488,ch1,R,0x0284,x| C0 03 00 02 00 00 00 00
23,4:13:59.489,ch1,R,0x0018,x| 00 2A 70 02 00 00 00 BC
24,4:13:59.489,ch1,R,0x0152,x| F0 EC 00 00 00 00 08 80
25,4:13:59.489,ch1,R,0x0140,x| 00 46 D1 42 00 00 09 21
26,4:13:59.489,ch1,R,0x0141,x| 84 26 C0 27 D0 82 A7 00
27,4:13:59.490,ch1,R,0x0142,x| 84 A6 00 00 00 00 00 00
28,4:13:59.490,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
29,4:13:59.490,ch1,R,0x0018,x| 00 2A 70 04 00 00 00 BE
30,4:13:59.490,ch1,R,0x0280,x| 03 0B 00 00 00 00 00 00
31,4:13:59.490,ch1,R,0x0372,x| 00 40 00 00 00 00 00 00
32,4:13:59.490,ch1,R,0x0140,x| 00 47 D1 42 00 00 09 21
33,4:13:59.490,ch1,R,0x0141,x| 84 26 C0 27 D0 82 A7 00
34,4:13:59.490,ch1,R,0x0142,x| 84 A6 00 00 00 00 00 00
35,4:13:59.490,ch1,R,0x0144,x| C0 00 48 08 05 A4 A0 00
36,4:13:59.492,ch1,R,0x0282,x| D2 21 FA 89 99 00 91 00
37,4:13:59.492,ch1,R,0x00d0,x| D2 FF 00 00 00 00 01 00
38,4:13:59.492,ch1,R,0x00d1,x| 00 00 00 00
39,4:13:59.492,ch1,R,0x00d2,x| 00 00 FF FF 00 00 00 00
40,4:13:59.492,ch1,R,0x00d3,x| 00 06 C0 0F 00 00 BF
41,4:13:59.492,ch1,R,0x00d4,x| 00 00 00 00 00 00 00 00
42,4:13:59.492,ch1,R,0x0018,x| 00 2A 70 06 00 00 00 C0
43,4:13:59.492,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
44,4:13:59.492,ch1,R,0x0140,x| 00 48 D1 42 00 00 09 21
45,4:13:59.492,ch1,R,0x0141,x| 84 26 C0 27 D0 82 A7 00
46,4:13:59.492,ch1,R,0x0142,x| 84 A6 00 00 00 00 00 00
47,4:13:59.492,ch1,R,0x0360,x| 09 01 81 81 3D 00 91 00
48,4:13:59.492,ch1,R,0x0361,x| 00 29 00 DB 0C C0 7F 3F
49,4:13:59.492,ch1,R,0x0370,x| 00 00 00 00 00 0F 00 00
50,4:13:59.492,ch1,R,0x0152,x| F0 FC 00 00 00 00 08 80
