Index,System Time,Channel,Direction,Frame ID,Data
1,15:19:59.221,ch1,R,0x0282,x| FE 93 2D FE FE 00 91 00
2,15:19:59.221,ch1,R,0x0152,x| 80 3C 00 00 00 00 00 C0
3,15:19:59.234,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
4,15:19:59.234,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
5,15:19:59.247,ch1,R,0x0152,x| 80 4C 00 00 00 00 00 C0
6,15:19:59.247,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
7,15:19:59.263,ch1,R,0x0152,x| 80 5C 00 00 00 00 00 C0
8,15:19:59.263,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
9,15:19:59.274,ch1,R,0x0284,x| 80 06 00 00 00 00 00 00
10,15:19:59.274,ch1,R,0x0152,x| 80 6C 00 00 00 00 00 C0
11,15:19:59.289,ch1,R,0x0282,x| FE A3 2D FE FE 00 91 00
12,15:19:59.289,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
13,15:19:59.302,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
14,15:19:59.302,ch1,R,0x0152,x| 80 7C 00 00 00 00 00 C0
15,15:19:59.317,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
16,15:19:59.317,ch1,R,0x0152,x| 80 8C 00 00 00 00 00 C0
17,15:19:59.330,ch1,R,0x044d,x| 40 02 00 00 00 00 00 00
18,15:19:59.330,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
19,15:19:59.342,ch1,R,0x0282,x| FE B3 2D FE FE 00 91 00
20,15:19:59.342,ch1,R,0x0152,x| 80 9C 00 00 00 00 00 C0
21,15:19:59.358,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
22,15:19:59.358,ch1,R,0x0152,x| 80 AC 00 00 00 00 00 C0
23,15:19:59.371,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
24,15:19:59.371,ch1,R,0x0284,x| 80 07 00 00 00 00 00 00
25,15:19:59.387,ch1,R,0x0152,x| 80 BC 00 00 00 00 00 C0
26,15:19:59.387,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
27,15:19:59.402,ch1,R,0x0282,x| FE C3 2D FE FE 00 91 00
28,15:19:59.402,ch1,R,0x0152,x| 80 CC 00 00 00 00 00 C0
29,15:19:59.413,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
30,15:19:59.413,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
31,15:19:59.423,ch1,R,0x0440,x| 42 02 00 00 00 00 00 00
32,15:19:59.423,ch1,R,0x0152,x| 80 DC 00 00 00 00 00 C0
33,15:19:59.438,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
34,15:19:59.438,ch1,R,0x0152,x| 80 EC 00 00 00 00 00 C0
35,15:19:59.453,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
36,15:19:59.453,ch1,R,0x0152,x| 80 FC 00 00 00 00 00 C0
37,15:19:59.468,ch1,R,0x0282,x| FE D3 2D FE FE 00 91 00
38,15:19:59.468,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
39,15:19:59.481,ch1,R,0x0284,x| 80 08 00 00 00 00 00 00
40,15:19:59.481,ch1,R,0x0152,x| 80 0C 00 00 00 00 00 C0
41,15:19:59.491,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
42,15:19:59.491,ch1,R,0x063b,x| 00 00 23 93 00 03 58 E0
43,15:19:59.507,ch1,R,0x0152,x| 80 1C 00 00 00 00 00 C0
44,15:19:59.507,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
45,15:19:59.514,ch1,R,0x0442,x| 4D 12 00 00 00 00 00 00
46,15:19:59.514,ch1,R,0x0282,x| FE E3 2D FE FE 00 91 00
47,15:19:59.530,ch1,R,0x0152,x| 80 2C 00 00 00 00 00 C0
48,15:19:59.530,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
49,15:19:59.539,ch1,R,0x03d1,x| FF 1F 00 00 00 00 00 00
50,15:19:59.539,ch1,R,0x0152,x| 80 3C 00 00 00 00 00 C0
51,15:19:59.555,ch1,R,0x0156,x| 00 00 00 00 00 00 00 00
